Temperature;Kinetic energy;Potential energy;Total energy
300.0000000000003;7483.013879031484;19322.46781818515;26805.481697216634
306.148040949984;7636.366798223424;19169.419170661466;26805.78596888489
324.4946726617953;8093.993797333299;18714.523376764435;26808.517174097735
354.60345628944526;8845.008616554835;17971.04312371197;26816.051740266805
395.66127506108967;9869.129375591414;16961.51282726065;26830.64220285206
446.50115284238194;11137.247745743662;15717.097003828514;26854.344749572178
505.6364877924683;12612.282852985898;14276.66956883903;26888.952421824928
571.3057051056437;14250.295068251318;12685.641070688636;26935.936138939956
641.5259941465902;16001.826393194664;10994.569086449239;26996.395479643903
714.1544962796987;17813.426691445726;9257.594169482669;27071.020860928395
786.955060171725;19629.31879146356;7530.749614067215;27160.068405530776
857.6684896256279;21393.15070492179;5870.197691922387;27263.34839684418
924.0840816292048;23049.780027411314;4330.447768397688;27380.227795809
984.1101938295573;24547.03412974311;2962.612721949136;27509.646851692247
1035.8415934776763;25837.390068238437;1812.7593232970085;27650.149391535444
1077.6214241871332;26879.52024511328;920.4056903343983;27799.925935447678
1108.0957805073656;27639.65368277611;317.2146882522086;27956.86837102832
1126.2590990011836;28092.708230704477;25.92631241500454;28118.634543119482
1131.4888518102432;28223.155940218126;59.56484707060619;28282.720787288734
1123.5683562561605;28025.592013018104;420.94815453532095;28446.540167553423
1102.6968818586777;27504.986904377387;1102.517075597122;28607.50397997451
1069.486632898989;26676.611058072584;2086.492902601894;28763.103960674478
1024.946597950826;25565.632059107083;3345.360535001032;28910.992594108116
970.453674655433;24206.39438801234;4842.664568989357;29049.058957001696
907.7118852237503;22641.402117637164;6534.0955370815445;29175.49765471871
838.7008827062264;20920.034485488806;8368.834121191674;29288.86860668048
765.6152975892102;19097.03299286291;10291.112717233891;29388.145710096804
690.7967773829066;17230.806242488357;12241.946506211887;29472.752748700244
616.6608185670101;15381.604879972825;14160.980425121905;29542.58530509473
545.6206722769388;13609.62354444939;15988.394325328372;29598.017869777763
480.0107161528228;11973.089503518037;17666.806299911437;29639.895803429474
422.0117207457859;10526.398544848906;19143.11374237154;29669.512287220445
373.5803980425021;9318.357678287155;20370.21319515557;29688.570873442724
336.38550271539935;8390.591285081045;21308.543425763222;29699.134710844268
311.7525667391679;7776.162612442933;21927.40133819399;29703.563950636926
300.61909048492856;7498.456088001798;22205.987138213648;29704.443226215444
303.50169594962404;7570.358010335426;22134.143419625852;29704.501429961278
320.47638000119076;7993.76399816892;21712.762274441215;29706.526272610135
351.17259869530756;8759.43143324179;20953.844862852595;29713.276296094387
394.7814804514308;9847.1843246755;19880.208788170687;29727.393112846185
450.07801970863824;11226.466893755807;18524.849765689407;29751.316659445212
515.4566576771679;12857.231078124745;16929.975100786654;29787.2061789114
588.9792270955624;14691.13243605775;15145.737049657853;29836.8694857156
668.4338372593929;16672.998938087683;13228.703886851341;29901.702824939024
751.4029169554419;18742.528187741027;11240.115131289038;29982.643319030067
835.3383280341465;20836.16100788822;9243.974604025108;30080.135611913327
917.6412212900527;22889.073316282862;7305.040565975511;30194.113882258374
995.7441372549125;24837.223996809113;5486.775922347777;30323.99991915689
1067.192763381329;26619.39419994813;3849.3232490422783;30468.717448990406
1129.7247494182234;28179.153264606408;2447.569123329168;30626.722387935577
1181.3430555087486;29466.688267564725;1329.3599187768568;30796.04818634158
1220.3814610224413;30440.43803514546;533.9269103501255;30974.364945495585
1245.5600921362995;31068.478188745514;90.57235083022243;31159.050539575735
1256.0291260110753;31329.611274695504;17.660305718615795;31347.27158041412
1251.3991901058137;31214.12502590184;321.94670713881044;31536.07173304065
1231.7573857693794;30724.192044372645;998.2725924215661;31722.46463679421
1197.6683131042028;29873.895364783217;2029.6331539624143;31903.528518745632
1150.159945293192;28688.876112450132;3387.6233968492807;32076.499509299414
1090.6946803428386;27205.61143597087;5033.249251265626;32238.860687236498
1021.1263713620842;25470.342697158416;6918.081296282703;32388.42399344112
943.6445879925234;23537.685162736638;8985.717193394212;32523.40235613085
860.7077769274983;21468.960801795994;11173.508858297364;32642.46966009336
774.9673551309726;19330.30491413794;13414.501645307279;32744.80655944522
689.1850733898286;17190.60489799138;15639.5256690143;32830.130567005675
606.146220062841;15119.33525817569;17779.37408179949;32898.70933997518
528.5713873831583;13184.356759490318;19766.999847103092;32951.356606593414
459.02958995298735;11449.749308347771;21539.66141663508;32989.41072498285
399.85550432662603;9973.747628277577;23040.94878849939;33014.69641677697
353.07348976856406;8806.846080854142;24222.624675661427;33029.47075651557
320.33085615175025;7990.134141551941;25046.22086471204;33036.35500626398
302.84257101104777;7553.917206790818;25484.337140051648;33038.25434684247
301.34925205065593;7516.668785102709;25521.59917250271;33038.26795760542
316.08988432599114;7884.349971442818;25155.24225128391;33039.59222272673
346.79024531561146;8650.120729364837;24395.29935270195;33045.42008206679
392.667530254421;9794.455262462816;23264.384428690704;33058.839691153524
452.45115972075416;11285.661025914302;21797.074576128347;33082.73560204265
524.4192376044812;13080.788111418127;20038.907510670633;33119.69562208876
606.4496265161587;15126.903240512902;18045.023112205345;33171.92635271825
696.0841354372552;17362.69082150202;15878.489337049095;33241.18015855111
790.6038861802516;19720.332843676813;13608.363132450906;33328.69597612772
887.1135549692381;22127.610147039202;11307.545804450408;33435.15595148961
982.6318853824325;24510.160120985365;9050.499288029236;33560.6594090146
1074.1856491013598;26793.8204029397;6910.894712766109;33704.71511570581
1158.9040990035887;28906.984857701078;4959.267374343398;33866.25223204448
1234.1109200033686;30782.897142165035;3260.75260817062;34043.64975033565
1297.41073866742;32361.808547509274;1872.9750855136608;34234.78363302293
1346.7674019988237;33592.930536614535;844.1597586510959;34437.09029526563
1380.5714748945747;34436.118358770196;211.52618767389558;34647.64454644409
1397.6947277645984;34863.230155038706;0.01947619156657964;34863.249631230276
1397.5297810889529;34859.11582749485;221.42078050972907;35080.53660800458
1380.0135303200352;34422.201335453494;873.868648546986;35296.06998400048
1345.6334784993528;33564.64665233353;1941.809651100072;35506.4563034336
1295.4166396311634;32312.068978294374;3396.383286562941;35708.45226485732
1230.9012264851253;30702.8365383502;5196.232393359811;35899.06893171001
1154.0918847251755;28786.95197025361;7288.716726459488;36075.668696713095
1067.3997636596757;26624.55748646757;9611.494377783976;36236.051864251545
973.5692055457171;24284.106257654163;12094.423761897287;36378.53001955145
875.5932743584738;21840.25541470358;14661.728335680647;36501.98375038423
776.6207169006851;19371.545344370672;17234.357420059918;36605.90276443059
679.8572417355712;16957.937252224452;19732.469736533723;36690.40698875817
588.464204759261;14678.286038422566;22077.961791930295;36756.24783035286
